,"timestamp,event,message"
0,"2023-08-27 10:00:00,INFO,Rocket initialization process started."
1,"2023-08-27 10:02:00,INFO,Power systems online. Batteries at optimal charge."
2,"2023-08-27 10:05:00,INFO,Communication established with mission control."
3,"2023-08-27 10:08:00,INFO,Pre-launch checklist initiated."
4,"2023-08-27 10:10:00,INFO,Avionics check: All systems functional."
5,"2023-08-27 10:12:00,INFO,Propulsion check: Thrusters responding as expected."
6,"2023-08-27 10:15:00,INFO,Life support systems nominal."
7,"2023-08-27 10:18:00,INFO,Cargo bay secured and sealed properly."
8,"2023-08-27 10:20:00,INFO,Final system checks complete. Rocket is ready for launch."
9,"2023-08-27 10:23:00,INFO,Countdown sequence initiated."
10,"2023-08-27 10:25:00,INFO,Engine ignition sequence started."
11,"2023-08-27 10:27:00,INFO,Engines at maximum thrust. Liftoff imminent."
12,"2023-08-27 10:30:00,INFO,Liftoff! Rocket has left the launchpad."
13,"2023-08-27 10:32:00,INFO,Initial telemetry received. Rocket is on its trajectory."
14,"2023-08-27 10:35:00,INFO,Approaching max-Q. Aerodynamic pressure increasing."
15,"2023-08-27 10:37:00,INFO,Max-Q passed. Vehicle is stable."
16,"2023-08-27 10:40:00,INFO,First stage engines throttled down as planned."
17,"2023-08-27 10:42:00,INFO,Main engine cutoff confirmed. Stage separation initiated."
18,"2023-08-27 10:45:00,INFO,Second stage ignition. Rocket continues its ascent."
19,"2023-08-27 10:48:00,INFO,Payload fairing jettisoned. Satellite now exposed."
20,"2023-08-27 10:50:00,INFO,Orbital insertion calculations initiated."
21,"2023-08-27 10:52:00,INFO,Navigation systems show nominal performance."
22,"2023-08-27 10:55:00,INFO,Second stage burn nominal. Rocket velocity increasing."
23,"2023-08-27 10:57:00,INFO,Entering planned orbit around Earth."
24,"2023-08-27 11:00:00,INFO,Orbital operations initiated. Satellite deployment upcoming."
25,"2023-08-27 11:05:00,INFO,Satellite deployment successful. Mission objectives achieved."
26,"2023-08-27 11:10:00,INFO,Initiating deorbit maneuvers for rocket's reentry."
27,"2023-08-27 11:15:00,INFO,Reentry sequence started. Atmospheric drag noticeable."
28,"2023-08-27 11:20:00,INFO,Heat shield performing as expected during reentry."
29,"2023-08-27 11:25:00,INFO,Main parachutes deployed. Rocket descent rate reducing."
30,"2023-08-27 11:28:00,INFO,Touchdown confirmed. Rocket safely landed."
31,"2023-08-27 11:30:00,INFO,Mission completed successfully. Recovery team dispatched."
32,"2023-08-27 11:35:00,INFO,Oxygen tank unstable."
33,"2023-08-27 11:40:00,INFO,Oxygen tank explosion."
34,"2023-08-27 12:00:00,INFO,Center and mission control systems powered down."
